SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010783:8	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:9	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:10	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:11	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010784:9	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:10	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:11	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:12	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:1	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:13	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:2	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:14	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:3	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:15	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:4	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:5	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:6	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:7	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010784:8	ICMX 2010784	ICMR 15666	ICMR 102180	
ICMX 2010785:6	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:7	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:8	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:9	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:10	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:1	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:2	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:3	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:4	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010785:5	ICMX 2010785	ICMR 18777	ICMR 102180	
ICMX 2010786:8	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:9	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:10	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:11	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:12	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:1	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:13	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:2	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:14	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:3	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:4	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:5	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:6	ICMX 2010786	ICMR 19777	ICMR 1804	
ICMX 2010786:7	ICMX 2010786	ICMR 19777	ICMR 1804	
