DESIGNATION	SAMPLE_UID
ICMR 19888:2	ICMR 19888
ICMR 19888:3	ICMR 19888
ICMR 19888:4	ICMR 19888
ICMR 19888:5	ICMR 19888
ICMR 19888:6	ICMR 19888
ICMR 102289:1	ICMR 102289
ICMR 102289:2	ICMR 102289
ICMR 102289:3	ICMR 102289
ICMR 102289:4	ICMR 102289
ICMR 102289:5	ICMR 102289
ICMR 102289:6	ICMR 102289
ICMR 100458:3	ICMR 100458
ICMR 100458:4	ICMR 100458
ICMR 100458:5	ICMR 100458
ICMR 100458:6	ICMR 100458
ICMR 100458:7	ICMR 100458
ICMR 100458:8	ICMR 100458
ICMR 101707:1	ICMR 101707
ICMR 101707:2	ICMR 101707
ICMR 101707:3	ICMR 101707
ICMR 101707:4	ICMR 101707
ICMR 101707:5	ICMR 101707
ICMR 101707:6	ICMR 101707
ICMR 15999:9	ICMR 15999
ICMR 15999:10	ICMR 15999
ICMR 15999:11	ICMR 15999
ICMR 15999:12	ICMR 15999
ICMR 15999:13	ICMR 15999
ICMR 15999:14	ICMR 15999
ICMR 100511:1	ICMR 100511
ICMR 100511:2	ICMR 100511
ICMR 100511:3	ICMR 100511
ICMR 100511:4	ICMR 100511
ICMR 100511:5	ICMR 100511
ICMR 100511:6	ICMR 100511
ICMR 102451:1	ICMR 102451
ICMR 102451:2	ICMR 102451
ICMR 102451:3	ICMR 102451
ICMR 102451:4	ICMR 102451
ICMR 102451:5	ICMR 102451
ICMR 102451:6	ICMR 102451
ICMR 102436:1	ICMR 102436
ICMR 102436:2	ICMR 102436
